"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AFFX-r2-P1-c3-cre-3_st",2.55509278343829,5.7922739774501,7.47495537770981,7.26619750181348e-08,3.91622989494292e-06,8.16210714534112
"hsa-miR-192_st",-3.160577238555,3.03877571455848,-7.43470481183822,7.9942535391994e-08,4.27911584992077e-06,8.06760076634833
"HBII-52-32_x_st",-2.47412643935147,3.03905613000203,-7.42561284494816,8.16879571984859e-08,4.34279854085828e-06,8.04622375323073
"hsa-miR-34c-5p_st",-8.02925759114978,4.68932976845793,-7.41285617896883,8.42028466091707e-08,4.44625166385587e-06,8.01621201451047
"mmu-miR-203_st",-2.96066792668144,2.83383090348885,-7.40413686968017,8.59672350179979e-08,4.50895262862855e-06,7.99568641447592
"hsa-miR-29c_st",-2.89127651547558,3.03030062213389,-7.39034851979783,8.88348973123985e-08,4.62829814997596e-06,7.96320777645439
"mml-miR-486-5p_st",-6.14859728385763,5.29673838452241,-7.38319761929258,9.03604587975653e-08,4.67660255299982e-06,7.94635394713559
"AFFX-BioB-5_at",2.65386666036171,10.5580061347771,7.3719124311434,9.28227317042405e-08,4.77243189650421e-06,7.91974250441891
"mml-miR-30e_st",-3.34182501542432,4.01067252909347,-7.36648370002065,9.40315418569171e-08,4.80298365759351e-06,7.90693517161073
"ppy-miR-194_st",-4.58154194865643,3.67424450514192,-7.35248076813746,9.722442220838e-08,4.93382376336682e-06,7.87388206309445
"hsa-miR-660_st",-3.21228666574044,3.1328416866108,-7.29604943732909,1.11256975136995e-07,5.60950490771366e-06,7.74042109697809
"HBII-438A_s_st",-2.08464664309234,3.39590537220561,-7.28533809418889,1.14146069671714e-07,5.71827906720796e-06,7.71504207612268
"hsa-miR-25_st",-4.2786417530239,3.97025721027441,-7.27544400563031,1.1688285553281e-07,5.81808608910134e-06,7.69158628157489
"hsa-miR-148b_st",-2.08935985325324,2.13910336225186,-7.2662470801815,1.19486942314044e-07,5.91006616572311e-06,7.66977193949958
"xtr-miR-200b_st",-4.88159443995499,3.74783509215807,-7.25161159649211,1.23753824773183e-07,6.08261723649326e-06,7.63503537044018
"gga-miR-16_st",-4.41416172950857,3.38509109926577,-7.24791714559937,1.24855328394e-07,6.09840244624443e-06,7.6262624340253
"mmu-miR-140_st",-2.38290016057135,2.31427346646926,-7.1798488196254,1.47043743301178e-07,7.11568310573259e-06,7.46431345097718
"AFFX-r2-P1-c2-cre-3_st",2.72348732627402,5.63184579181761,7.17734311502405,1.47933474238558e-07,7.11568310573259e-06,7.45834058816332
"dre-miR-101a_st",-2.27196385523433,2.56900415327892,-7.17599589459728,1.48414119799669e-07,7.11568310573259e-06,7.45512888161321
"lla-miR-20_st",-4.52802917342923,3.87372301108658,-7.16828078110171,1.51197523645687e-07,7.20493077616492e-06,7.43673200183309
"mdo-miR-200a_st",-4.94051121701216,4.1952940554327,-7.16414553392669,1.52711303719565e-07,7.23296265799031e-06,7.42686829764905
"fru-miR-200a_st",-4.92489503385786,4.2298785986422,-7.16125082535484,1.53780167651207e-07,7.23971090478424e-06,7.41996233172982
"ppy-miR-20_st",-4.27839716198271,3.97150320432507,-7.15336105604641,1.56732416771335e-07,7.33451399441905e-06,7.40113416451255
"AFFX-r2-Ec-c3-bioD-3_st",2.81670916980268,5.6910951750788,7.14074817962913,1.61572779469542e-07,7.4790844073124e-06,7.37101842557353
"ggo-miR-194_st",-4.4238712143416,3.77158377711319,-7.14033013672419,1.6173579844348e-07,7.4790844073124e-06,7.37001992166529
"xtr-miR-15c_st",-2.33167063882743,2.62853461779262,-7.12954440131896,1.66000371994034e-07,7.63113474784337e-06,7.34425036032603
"gga-miR-29b_st",-2.56021535837794,2.86620197901971,-7.109180568557,1.74367884638269e-07,7.96891823653844e-06,7.29555665674297
"cfa-miR-15b_st",-3.01035381779537,2.58701887620552,-7.10623585251712,1.75613035933247e-07,7.97916206871121e-06,7.2885109849887
"mmu-miR-542-5p_st",-2.83568339384445,2.49020015950345,-7.09263943973492,1.81481017791762e-07,8.16031256998411e-06,7.2559654524343
"fru-miR-101a_st",-2.462234343176,2.37800273467801,-7.09216730980489,1.81688341289473e-07,8.16031256998411e-06,7.25483490627755
"ssc-miR-148a_st",-3.23850844988229,2.76982408747727,-7.07859783191074,1.87751545091277e-07,8.38444757079044e-06,7.22232999355687
"mmu-miR-194_st",-4.46395817466172,3.71801223143349,-7.07363534717899,1.90020175830267e-07,8.4375436029178e-06,7.21043690357408
"tni-miR-16_st",-3.89118309237895,3.39489817348214,-7.07097657301136,1.91247147737808e-07,8.44404779418627e-06,7.20406362276641
"odi-miR-92b_st",-2.12619016765157,2.83893381718396,-7.06674593937073,1.93216204080521e-07,8.48305974656895e-06,7.19392066148228
"mml-miR-25_st",-3.926500835796,4.07227383435768,-7.06155138675424,1.9566223776261e-07,8.54246026879776e-06,7.18146365298356
"dre-miR-16b_st",-4.0519632080954,3.32907453543781,-7.05804466063308,1.97331356802996e-07,8.56746974119675e-06,7.17305230772453
"gga-let-7g_st",-3.12829111670398,3.04094831563432,-7.04314177870714,2.0458855490401e-07,8.83347821312065e-06,7.13728873948043
"fru-miR-200b_st",-4.58606197422222,4.27065812289987,-6.96663785351021,2.46370214887086e-07,1.05790287326515e-05,6.95326476975715
"cfa-miR-15a_st",-3.22210490407795,2.71897407104865,-6.96017540780396,2.50276418113762e-07,1.06880339210877e-05,6.93768698918219
"tni-miR-101a_st",-1.97231710582405,2.51284155435049,-6.94919552643501,2.57058696764946e-07,1.09180093218373e-05,6.91120821577828
"csa-miR-141_st",-2.58595072070312,2.77343552613119,-6.93877081811947,2.63671636008618e-07,1.11383450562559e-05,6.88605470478274
"dre-miR-16a_st",-4.05706176376598,3.36721034166573,-6.92166169128649,2.749034549856e-07,1.15503790360885e-05,6.84474394475322
"cfa-miR-29b_st",-2.64775773680888,2.86052394715,-6.91224246944077,2.81294181793324e-07,1.17556900038226e-05,6.82198568380044
"xtr-miR-194_st",-4.12124155542119,4.00929545655412,-6.90674035882242,2.85097172402618e-07,1.18512468208854e-05,6.808686796743
"bta-miR-200b_st",-4.8358714485315,3.83606429234467,-6.8944101049291,2.93811354601658e-07,1.21488663291638e-05,6.77887068111561
"sla-miR-20_st",-4.59413269664261,3.68642870699468,-6.89045595330193,2.96663050483476e-07,1.22022196817282e-05,6.76930516707286
"gga-miR-200a_st",-4.57206432045261,4.47483264802978,-6.86111276112778,3.18726826045542e-07,1.30411002384603e-05,6.69826226573762
"dre-miR-15b_st",-2.07404512223682,2.61798941650841,-6.84495374112383,3.31584816927825e-07,1.34965382515154e-05,6.65909567823774
"ppa-miR-20_st",-4.26360168220795,4.04606824132861,-6.83625135365028,3.38727414078838e-07,1.36802614646487e-05,6.63798976770364
"mml-miR-200a_st",-5.05970373163047,4.08802923985651,-6.8340135575545,3.40589349740062e-07,1.36802614646487e-05,6.63256098465118
"mml-miR-26b_st",-2.69931102799327,3.41237369988485,-6.83310283332369,3.4135009412751e-07,1.36802614646487e-05,6.63035144245739
"rno-miR-30e_st",-3.79328820231762,3.57039260999426,-6.82657409385146,3.46854654675788e-07,1.38299445218943e-05,6.61450894402813
"rno-miR-29b_st",-3.14531085098531,2.75656429303952,-6.82262854935245,3.50225055777519e-07,1.38934457406158e-05,6.60493232350006
"xtr-miR-16a_st",-4.63271015521,3.69205542832814,-6.820335901488,3.52198827472868e-07,1.39011809934367e-05,6.5993667654691
"mml-miR-664_st",2.12767279893902,4.60066142693401,6.817235858117,3.54885751369334e-07,1.39199843877209e-05,6.59184021188848
"hsa-miR-200a_st",-4.75778972838257,4.38336762516996,-6.81568519423385,3.56237604292281e-07,1.39199843877209e-05,6.58807494983703
